Time,rr_ms
04:13:13.047571Z,54172.8515625
04:13:13.775975Z,897.4609375
04:13:14.025917Z,241.2109375
04:13:14.275847Z,261.71875
04:13:15.019685Z,694.3359375
04:13:15.254235Z,187.5
04:13:21.172025Z,5892.578125
04:13:24.131355Z,2996.09375
04:13:24.617531Z,490.234375
04:13:25.111644Z,541.9921875
04:13:27.079626Z,1857.421875
04:13:27.318241Z,343.75
04:13:27.568180Z,202.1484375
04:13:28.562169Z,1051.7578125
04:13:37.921512Z,9204.1015625
04:13:48.007259Z,10228.515625
04:13:49.991031Z,1948.2421875
04:13:50.725401Z,819.3359375
04:13:51.209664Z,458.0078125
04:13:51.459632Z,196.2890625
04:13:52.445673Z,1023.4375
04:13:57.122208Z,4666.9921875
04:13:57.865053Z,695.3125
04:13:58.607920Z,543.9453125
04:13:58.842243Z,513.671875
04:13:59.345242Z,521.484375
04:14:00.073615Z,710.9375
04:14:00.573824Z,423.828125
04:14:00.823752Z,170.8984375
04:14:01.559324Z,907.2265625
04:14:02.056557Z,444.3359375
04:14:02.546853Z,334.9609375
04:14:03.031467Z,660.15625
04:14:03.767574Z,678.7109375
04:14:06.477698Z,2627.9296875
04:14:06.977532Z,571.2890625
04:14:07.964271Z,775.390625
04:14:08.698521Z,916.015625
04:14:09.932602Z,1332.03125
04:14:10.913685Z,840.8203125
04:14:11.400548Z,605.46875
04:14:11.894659Z,556.640625
04:14:12.394540Z,470.703125
04:14:13.385025Z,666.015625
04:14:26.931411Z,13742.1875
04:14:35.058796Z,8173.828125
04:14:35.793172Z,756.8359375
04:14:36.277437Z,551.7578125
04:14:36.777319Z,371.09375
04:14:37.027085Z,337.890625
04:14:37.521195Z,497.0703125
04:14:38.007442Z,473.6328125
04:14:38.744245Z,785.15625
04:14:39.238325Z,342.7734375
04:14:39.479394Z,398.4375
04:14:40.463842Z,965.8203125
04:14:40.963675Z,312.5
04:14:41.215339Z,404.296875
04:14:41.947006Z,728.515625
04:14:42.932999Z,726.5625
04:14:43.419825Z,714.84375
04:14:47.126386Z,3757.8125
04:14:47.858298Z,761.71875
04:14:48.597632Z,745.1171875
04:14:49.581769Z,717.7734375
04:14:50.317950Z,718.75
04:14:50.817832Z,716.796875
04:14:51.552040Z,727.5390625
04:14:52.288206Z,721.6796875
04:14:53.022363Z,717.7734375
04:14:53.773824Z,760.7421875
04:14:54.508235Z,749.0234375
04:14:55.242443Z,733.3984375
04:14:56.227499Z,715.8203125
04:14:56.971515Z,743.1640625
04:14:57.455775Z,715.8203125
04:14:58.205597Z,798.828125
04:14:58.939802Z,804.6875
04:14:59.923947Z,791.9921875
04:15:00.658173Z,773.4375
04:15:01.407879Z,716.796875
04:15:02.144497Z,698.2421875
04:15:02.876808Z,719.7265625
04:15:03.620862Z,763.671875
04:15:04.355061Z,833.984375
04:15:05.089265Z,840.8203125
04:15:06.088859Z,795.8984375
04:15:06.823231Z,775.390625
04:15:07.564680Z,766.6015625
04:15:08.548245Z,746.09375
04:15:09.039247Z,731.4453125
04:15:09.773446Z,784.1796875
04:15:11.492506Z,1803.7109375
04:15:12.730423Z,923.828125
04:15:13.470919Z,839.84375
04:15:14.206435Z,834.9609375
04:15:14.940888Z,792.96875
04:15:15.682541Z,737.3046875
04:15:16.432199Z,700.1953125
04:15:17.166564Z,667.96875
04:15:17.650826Z,675.78125
04:15:18.400634Z,740.234375
04:15:19.384794Z,829.1015625
04:15:20.115125Z,846.6796875
04:15:26.516213Z,6469.7265625
04:15:27.500358Z,907.2265625
04:15:28.499946Z,963.8671875
04:15:29.484089Z,983.3984375
04:15:30.469405Z,914.0625
04:15:31.203828Z,859.375
04:15:32.179092Z,813.4765625
04:15:32.928920Z,913.0859375
04:15:33.916685Z,954.1015625
04:15:34.891153Z,884.765625
04:15:35.629272Z,872.0703125
04:15:36.620666Z,936.5234375
04:15:37.607403Z,901.3671875
04:15:38.344166Z,917.96875
04:15:39.580945Z,888.671875
04:15:40.309495Z,843.75
04:15:41.044622Z,842.7734375
04:15:41.794768Z,833.0078125
04:15:42.774571Z,837.890625
04:15:43.511385Z,809.5703125
04:15:44.255425Z,793.9453125
04:15:45.478557Z,779.296875
04:15:46.229125Z,782.2265625
04:15:46.715352Z,779.296875
04:15:47.449559Z,785.15625
04:15:48.199352Z,796.875
04:15:48.931093Z,705.078125
04:15:49.665577Z,679.6875
04:15:50.415395Z,695.3125
04:15:50.899666Z,707.03125
04:15:51.649308Z,718.75
04:15:52.383680Z,729.4921875
04:15:53.118968Z,766.6015625
04:15:54.103115Z,771.484375
04:15:54.837315Z,788.0859375
04:15:55.581714Z,828.125
04:15:56.572570Z,832.03125
04:15:57.311434Z,781.25
04:15:58.045804Z,812.5
04:15:59.027792Z,872.0703125
04:15:59.761988Z,881.8359375
04:16:00.748174Z,820.3125
04:16:01.499501Z,798.828125
04:16:02.235508Z,793.9453125
04:16:02.970018Z,805.6640625
04:16:03.954119Z,810.546875
04:16:04.693791Z,850.5859375
04:16:05.678581Z,912.109375
04:16:06.665327Z,960.9375
04:16:07.399527Z,950.1953125
04:16:08.393485Z,975.5859375
04:16:09.377572Z,922.8515625
04:16:10.365431Z,909.1796875
04:16:11.099782Z,812.5
04:16:11.841370Z,789.0625
04:16:12.822190Z,872.0703125
04:16:13.806383Z,953.125
04:16:14.786535Z,1014.6484375
04:16:15.530583Z,889.6484375
04:16:16.521305Z,882.8125
04:16:17.494238Z,921.875
04:16:18.238509Z,891.6015625
04:16:19.225262Z,887.6953125
04:16:19.968127Z,828.125
04:16:20.950904Z,835.9375
04:16:21.685099Z,759.765625
04:16:22.420003Z,749.0234375
04:16:23.169823Z,768.5546875
04:16:24.151428Z,728.515625
04:16:24.642436Z,693.359375
04:16:25.386288Z,678.7109375
04:16:25.874361Z,680.6640625
04:16:26.615302Z,696.2890625
04:16:27.603065Z,734.375
04:16:28.087548Z,757.8125
04:16:28.823749Z,754.8828125
04:16:29.574522Z,782.2265625
04:16:30.311492Z,749.0234375
04:16:31.049571Z,674.8046875
04:16:31.783761Z,691.40625
04:16:34.496360Z,2586.9140625
04:16:35.230563Z,753.90625
04:16:35.974607Z,830.078125
04:16:36.703039Z,829.1015625
04:16:37.701546Z,888.671875
04:16:38.440720Z,798.828125
04:16:39.169293Z,804.6875
04:16:40.163161Z,753.90625
04:16:40.897588Z,794.921875
04:16:41.641468Z,898.4375
04:16:42.614403Z,952.1484375
04:16:43.602622Z,902.34375
04:16:44.337965Z,843.75
04:16:45.325926Z,915.0390625
04:16:46.312669Z,931.640625
04:16:47.306493Z,904.296875
04:16:48.042810Z,930.6640625
04:16:49.026719Z,922.8515625
04:16:50.006011Z,974.609375
04:16:50.991111Z,1065.4296875
04:16:52.225910Z,1000.9765625
04:16:53.204272Z,1035.15625
04:16:54.191777Z,1078.125
04:16:55.183328Z,987.3046875
04:16:56.160545Z,929.6875
04:16:57.144661Z,970.703125
04:16:58.128806Z,971.6796875
04:16:59.114570Z,1051.7578125
04:17:00.098740Z,1053.7109375
04:17:01.083075Z,1054.6875
04:17:02.317158Z,1133.7890625
